,공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
209,Backend Developer (스토어 백엔드 개발자),씨디에프브로스,서버/백엔드,상시 채용,정규직,5000 ~ 10000 만원,"서울시 강남구 테헤란로87길 36, 도심공항타워 24층, 2401호 씨디에프브로스",,"['TypeScript', 'Node.js', 'NestJS', 'TypeORM', 'MySQL']",https://programmers.co.kr/job_positions/11174
210,Agent Developer (C/C++ 개발자),쏘마,"시스템 소프트웨어, 응용 프로그램",상시 채용,정규직,,대한민국 경기도 성남시 분당구 삼평동 판교로 255번길 24 아이엔씨 빌딩 4층 주식회사 쏘마,,['C++'],https://programmers.co.kr/job_positions/9708
211,Junior Backend Engineer ,트릿지,"서버/백엔드, 웹 풀스택, 데이터 엔지니어링",상시 채용,정규직,,"서울특별시 서초구 방배로 226, 2, 4, 5, 6, 별관2층(방배동, 넥센강남타워)",,"['MySQL', 'Node.js', 'Docker', 'Django', 'Python']",https://programmers.co.kr/job_positions/15444
212,Software Engineer (전문연구요원),클로버추얼패션,"시스템 소프트웨어, 응용 프로그램",상시 채용,정규직,,서울특별시 강남구 도산대로8길 17-4(논현동),,"['C', 'C++']",https://programmers.co.kr/job_positions/9508
213,시니어 백엔드 개발자,Riiid!,서버/백엔드,상시 채용,정규직,,,,"['Spring Boot', 'Kotlin']",https://programmers.co.kr/job_positions/15374
214,QA 엔지니어,아비커스,QA,상시 채용,정규직,5000 ~ 10000 만원,"서울 강남구 논현로85길 70, (역삼동) 11층",,,https://programmers.co.kr/job_positions/13867
215,비전인지 엔지니어,아비커스,,상시 채용,정규직,5000 ~ 10000 만원,"서울 강남구 논현로85길 70, (역삼동) 11층",,,https://programmers.co.kr/job_positions/13862
216,자율운항 S/W  통합 엔지니어,아비커스,,상시 채용,정규직,5000 ~ 10000 만원,"서울 강남구 논현로85길 70, (역삼동) 11층",,,https://programmers.co.kr/job_positions/13861
217,Computer Vision Engineer,아비커스,"서버/백엔드, 머신러닝, 시스템/네트워크",상시 채용,정규직,5000 ~ 10000 만원,"서울 강남구 논현로85길 70, (역삼동) 11층",,"['OpenCV', 'C++', 'Machine Vision', 'Tensorflow']",https://programmers.co.kr/job_positions/4821
218,Machine Learning Engineer,아비커스,"머신러닝, 인공지능(AI), 데이터 엔지니어링",상시 채용,정규직,5000 ~ 10000 만원,"서울 강남구 논현로85길 70, (역삼동) 11층",,"['Python', 'Machine Learning', 'Deep Learning', 'Tensorflow', 'Azure', 'PyTorch', 'Keras']",https://programmers.co.kr/job_positions/4871
219,백엔드 엔지니어,아비커스,"서버/백엔드, 웹 풀스택, 안드로이드",상시 채용,정규직,5000 ~ 10000 만원,"서울 강남구 논현로85길 70, (역삼동) 11층",,,https://programmers.co.kr/job_positions/13865
220,웹 개발자,멕헬스케어,"서버/백엔드, 시스템/네트워크, 크로스 플랫폼",상시 채용,정규직,3000 ~ 6000 만원,"서울 마포구 모래내로7길 12, (성산동) ",,"['MySQL', 'PHP', 'Python']",https://programmers.co.kr/job_positions/15219
221,플랫폼 사업실_ 자사솔루션 구축 및 유지보수 개발자,인젠트,"프론트엔드, QA, 응용 프로그램",상시 채용,정규직,,"서울 영등포구 국제금융로2길 36, (여의도동) 유화증권빌딩 8,9층",,"['Java', 'SQL', 'Linux']",https://programmers.co.kr/job_positions/11755
